fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc_%,SApM,Str_Def_%,TD_Avg,TD_Acc_%,TD_Def_%,Sub_Avg
Alex Chambers,63,115,63,Southpaw,"Oct 25, 1978",2.97,54,5.1,50,2.31,41,53,1
Michael Chandler,68,155,71,Orthodox,"Apr 24, 1986",4.29,49,3.76,52,2.37,41,80,1.4
Ernest Chavez,68,145,70,Orthodox,"Jun 27, 1983",2.79,40,3.89,59,0.89,33,50,0
Danny Chavez,68,145,67,Orthodox,"Mar 14, 1987",2.93,39,4.17,53,2.5,100,84,0
Mark Cherico,67,145,69,Orthodox,"May 12, 1986",3.69,34,7.37,56,5.03,50,0,0
Macy Chiasson,71,135,72,Orthodox,"Jul 27, 1991",4.16,49,2.17,46,0.98,21,64,0.5
Giga Chikadze,72,145,74,Orthodox,"Aug 25, 1988",3.45,43,2.65,60,0.38,33,68,0
Michael Chiesa,73,170,75,Southpaw,"Dec 07, 1987",1.89,40,1.71,54,3.6,52,68,0.9
Khamzat Chimaev,74,170,75,Orthodox,"May 01, 1994",9.03,72,0.1,66,4.67,75,0,3.1
Dooho Choi,70,145,70,Orthodox,"Apr 10, 1991",5.32,51,6.38,53,0.41,20,50,0
SeungWoo Choi,72,145,74,Orthodox,"Nov 03, 1992",3.17,41,2.45,46,1.03,57,66,0
John Cholish,71,155,74,Orthodox,"Dec 17, 1983",2.65,49,2.29,73,1.82,31,78,0.4
Joachim Christensen,75,205,76,Orthodox,"Nov 07, 1978",3.78,41,3.29,46,0,0,0,0
Ryo Chonan,69,170,70,Orthodox,"Oct 08, 1976",2.57,43,2.25,60,0.61,41,39,0.3
Katlyn Chookagian,69,125,68,Orthodox,"Dec 28, 1988",4.22,34,4.23,63,0.27,15,51,0.5
Cameron Church,71,155,72,Orthodox,"Sep 27, 1990",4,40,4.93,50,0,0,60,1
Hannah Cifers,61,115,62,Orthodox,"Jun 26, 1992",4.99,44,5.39,52,0.26,100,64,0.3
Misha Cirkunov,75,205,77,Orthodox,"Feb 27, 1987",4.18,51,3.22,60,4.28,57,71,2.3
Devin Clark,72,205,75,Orthodox,"Apr 12, 1990",3.33,57,2.43,48,2.7,36,76,0.1
Jessica-Rose Clark,65,125,64,Orthodox,"Nov 28, 1987",4.68,51,3.98,60,1.01,55,73,0.4
Heather Clark,66,115,64,Orthodox,"Sep 19, 1980",3.69,49,5.62,50,0.33,4,80,0.3
Rich Clementi,69,155,72,Southpaw,"Mar 31, 1976",1.43,37,2.29,60,1.72,42,25,1.1
Chris Clements,70,170,70,Orthodox,"Feb 09, 1976",3.2,49,2.37,44,0,0,32,0.3
Mitch Clarke,70,155,73,Orthodox,"Nov 24, 1985",2.35,34,3.27,47,0.64,15,50,0.4
Marloes Coenen,69,145,67,Orthodox,"Mar 31, 1981",2.15,51,1.9,67,0.82,30,41,2.5
Felipe Colares,68,135,69,Orthodox,"Mar 31, 1994",1.13,42,3,32,2,25,34,1
Mark Coleman,73,205,75,Orthodox,"Dec 20, 1964",1.88,52,2.62,40,3.89,40,50,0.8
Clay Collard,71,145,73,Orthodox,"Mar 10, 1993",4.22,32,5,50,2.81,39,71,0.5
Jamie Colleen,63,115,65,Orthodox,"Nov 02, 1985",3.11,61,5.66,33,0.52,33,50,1.6
Jake Collier,75,265,78,Orthodox,"Oct 25, 1988",4.92,41,4.09,53,0.57,23,67,0.4
Carlos Condit,74,170,75,Orthodox,"Apr 26, 1984",3.63,39,2.49,56,0.62,54,39,1
Montserrat Conejo,60,115,61,Southpaw,"Feb 03, 1993",1,36,2.07,52,4,80,0,2
Tristan Connelly,70,170,68,Orthodox,"Dec 12, 1985",4.27,51,2.13,57,0,0,60,1
Michael Cora,73,170,77,Southpaw,"Aug 24, 1989",0.8,28,0.13,66,0,0,25,0
Amanda Cooper,63,115,64,Switch,"Oct 22, 1991",3.55,44,3.2,51,1.53,38,28,1.8
Akira Corassani,68,145,68,Orthodox,"Aug 27, 1982",3.25,45,4.91,50,0.7,28,86,0
Chris Cope,72,170,72,Orthodox,"Mar 05, 1983",3.96,26,4.82,50,0,0,80,0
Daniel Cormier,71,265,72,Orthodox,"Mar 20, 1979",4.25,52,2.92,54,1.83,44,80,0.4
Bethe Correia,65,135,64,Orthodox,"Jun 22, 1983",4.39,44,4.56,58,0.44,20,84,0
Louis Cosce,69,170,71,Orthodox,"Aug 27, 1995",8.22,48,9.3,48,1.07,11,0,0
Tracy Cortez,65,135,65,Orthodox,"Dec 10, 1993",3.67,53,1.98,62,3,42,85,0
Orion Cosce,71,170,71,Switch,"Jul 15, 1994",4.56,62,1.97,56,1.02,100,70,0
Randy Costa,69,135,73,Switch,"Jul 06, 1994",7.88,47,5.26,58,0,0,100,0
Paulo Costa,73,185,72,Orthodox,"Apr 21, 1991",7.03,57,6.7,50,0,0,80,0
Oscar Cota,72,265,72,Orthodox,"Oct 15, 1984",0.33,41,2.47,41,0,0,60,1
Patrick Cote,71,170,75,Orthodox,"Feb 29, 1980",2.81,48,3.21,48,0.68,20,43,0.2
Rashad Coulter,71,205,76,Orthodox,"Nov 27, 1981",4.82,56,6.68,50,0,0,62,0
Ryan Couture,70,155,73,Orthodox,"Aug 27, 1982",3.54,45,2.87,54,1.55,29,46,1.3
Colby Covington,71,170,72,Orthodox,"Feb 22, 1988",4.12,38,2.86,55,4.61,50,75,0.1
Nathan Coy,70,170,69,Southpaw,"Jul 24, 1978",3.88,52,2.4,61,3.17,47,50,0
Andrew Craig,73,170,76,Orthodox,"Jan 15, 1986",2.39,40,3.01,50,0.53,37,72,0
Paul Craig,75,205,76,Orthodox,"Nov 27, 1987",2.4,49,2.43,49,2.11,26,55,1.5
Tim Credeur,75,185,75,Orthodox,"Jul 09, 1977",3.59,30,3.13,57,0.41,100,50,3.3
Randy Couture,73,205,75,Orthodox,"Jun 22, 1963",2.85,57,1.53,59,2.78,46,58,0.5
Kevin Croom,71,155,73,Orthodox,"Jul 15, 1987",1.35,36,3.22,31,0.97,6,50,1
Ken Cross,72,155,72,Southpaw,"Oct 04, 1994",2.2,57,1.4,55,1,12,66,0
Jimmy Crute,74,205,74,Orthodox,"Mar 04, 1996",4.36,57,2.31,54,4.33,75,60,2.4
Dominick Cruz,68,135,68,Orthodox,"Mar 09, 1985",3.65,32,2.42,72,2.99,46,83,0.1
Aalon Cruz,72,145,78,Switch,"Sep 20, 1989",7.58,39,8.88,58,0,0,0,0
Luke Cummo,72,170,74,Orthodox,"Apr 27, 1980",1.74,43,1.5,59,0.89,55,42,1.4
Alton Cunningham,74,205,77,Orthodox,"Jun 24, 1993",3.33,75,4.94,20,1.67,10,100,0
Allen Crowder,75,265,76,Orthodox,"Nov 08, 1989",2.95,51,2.95,56,1.85,33,100,1.2
Josh Culibao,70,155,73,Orthodox,"May 24, 1994",2.52,38,4.3,48,0,0,100,0
Patrick Cummins,74,205,76,Orthodox,"Nov 16, 1980",4.26,50,3.35,55,4.49,41,28,0.1
Kailin Curran,64,115,65,Orthodox,"Apr 11, 1991",3.89,43,4.75,53,2,57,61,0.6
Jeff Curran,66,135,69,Orthodox,"Sep 02, 1977",1.54,31,2.48,60,0.35,12,35,1.2
Daron Cruickshank,68,155,72,Switch,"Jun 11, 1985",2.88,38,2.98,57,2.04,41,60,0.2
Ion Cutelaba,73,205,75,Southpaw,"Dec 14, 1993",5.1,39,3.37,48,2.41,71,80,0
Henrique da Silva,75,205,76,Orthodox,"Sep 01, 1989",3.89,60,5.28,40,0.25,14,22,0.2
Alex Da Silva,68,155,73,Orthodox,"Feb 04, 1996",2.07,46,2.65,55,2.75,43,77,0.4
Zak Cummings,72,185,75,Southpaw,"Aug 02, 1984",2.58,32,2.83,55,0.68,28,65,0.7
Nicolas Dalby,71,170,74,Orthodox,"Nov 16, 1984",3.2,37,3.57,55,1.45,33,63,0
Paul Daley,69,170,76,Orthodox,"Feb 21, 1983",3.14,47,2.37,60,0.91,40,64,0
Aisling Daly,62,115,64,Orthodox,"Dec 24, 1987",2.92,52,1.4,55,2.15,41,33,0.9
Rodrigo Damm,67,155,71,Orthodox,"Feb 03, 1980",3.5,36,5.61,57,0.44,16,80,0.3
Jarjis Danho,75,265,74,Orthodox,"Oct 15, 1983",3.39,48,5.77,47,0.57,20,100,0
Mac Danzig,68,155,70,Orthodox,"Jan 02, 1980",3.39,48,3.44,57,1.2,37,46,0.6
Karen Darabedyan,67,155,68,Orthodox,"Dec 18, 1986",3.43,51,2.62,67,2.14,75,0,0
Beneil Dariush,70,155,72,Southpaw,"May 06, 1989",4,49,2.72,59,2.03,32,81,1
Kyle Daukaus,75,185,76,Southpaw,"Feb 27, 1993",3.69,59,2.16,42,2.33,41,94,1.7
Chris Daukaus,75,265,76,Orthodox,"Sep 25, 1989",11.78,61,3.22,65,0,0,100,0
Marcus Davis,70,170,70,Southpaw,"Aug 24, 1973",2.72,39,2.79,65,1.6,48,47,1.4
LC Davis,68,135,69,Southpaw,"Oct 28, 1980",2.04,30,2.1,59,2.27,46,66,0.2
Phil Davis,74,205,79,Orthodox,"Sep 25, 1984",2.85,34,1.33,72,2.99,38,72,0.6
Mike Davis,72,145,72,Orthodox,"Oct 07, 1992",6.24,53,6.76,57,1.39,33,69,0
Alexis Davis,66,135,68,Orthodox,"Oct 04, 1984",4.18,47,4.18,55,0.94,40,34,0.8
Hakeem Dawodu,68,145,73,Orthodox,"Jul 02, 1991",5.15,47,2.31,63,0,0,85,0
Brandon Davis,70,135,72,Orthodox,"May 08, 1990",4.65,35,4.33,60,0.71,45,56,0.1
Grant Dawson,70,145,72,Switch,"Feb 20, 1994",3.4,48,2.1,51,3.44,34,40,1.6
Jason Day,72,185,72,Orthodox,"May 19, 1981",3.61,54,3.46,47,1.13,100,0,0
Martin Day,70,145,73,Orthodox,"Nov 10, 1988",3.97,45,3.79,53,0.72,60,65,0.5
Yorgan De Castro,72,265,74,Orthodox,"Dec 19, 1986",2.61,44,3.9,55,0,0,75,0
Geraldo de Freitas,67,135,72,Orthodox,"Sep 30, 1991",3.67,52,2.62,50,3,45,59,0
Philip De Fries,77,265,79,Orthodox,"Apr 21, 1986",2.3,47,3,37,3.29,42,100,0.6
Chris de la Rocha,75,265,80,Orthodox,"May 15, 1979",4.08,45,6.37,43,2.02,30,33,1
Montana De La Rosa,67,125,68,Orthodox,"Feb 14, 1995",2.85,36,3.39,45,2.14,28,57,1.2
Mark De La Rosa,66,135,65,Orthodox,"Aug 31, 1994",3.13,35,5,48,0.54,13,40,0.2
Mike de la Torre,71,145,71,Orthodox,"Sep 22, 1986",3.21,39,4.75,51,0.36,16,83,0
Isabela de Padua,63,125,64,Orthodox,"Sep 04, 1991",1,35,2.07,50,2,66,0,1
Germaine de Randamie,69,135,71,Orthodox,"Apr 24, 1984",2.72,46,2.14,65,0,0,69,0.4
Gloria de Paula,65,115,67,Orthodox,"Jun 10, 1995",3.33,54,1.2,70,0,0,71,1
Rolando Delgado,75,155,77,Orthodox,"Nov 22, 1981",1.56,40,1.83,62,1.17,22,0,3.5
Jon Delos Reyes,66,125,67,Orthodox,"Aug 19, 1987",2.99,38,4.14,51,3.2,83,55,1.9
Roland Delorme,69,135,71,Orthodox,"Dec 18, 1983",2.28,44,4.32,40,2.51,34,42,1.6
Vanessa Demopoulos,62,115,59,Orthodox,"Sep 22, 1988",1.6,41,3.13,50,0,0,0,2
Chris Dempsey,70,185,72,Orthodox,"Sep 08, 1987",2.25,32,2.82,65,2.64,23,16,0
Jason Dent,70,155,71,Orthodox,"Jun 12, 1980",2.01,39,3.7,62,0,0,26,1.4
Tony DeSouza,72,170,70,Southpaw,"Jul 26, 1974",1.12,52,1.57,41,2.25,42,40,1.5
Mackenzie Dern,64,115,63,Orthodox,"Mar 24, 1993",3.74,38,3.81,61,0.28,5,0,2.2
Alessio Di Chirico,72,185,74,Orthodox,"Dec 12, 1989",3.3,41,3.24,62,1.62,45,83,0
Micol Di Segni,63,115,60,Orthodox,"Dec 29, 1987",7.47,40,5.87,33,0,0,37,0
Cyrille Diabate,78,205,81,Southpaw,"Oct 06, 1973",4.06,71,1.78,60,1.17,83,53,0.2
Tyler Diamond,67,145,69,Orthodox,"Mar 18, 1991",3.4,47,2.53,44,3,75,70,0
Marc Diakiese,70,155,73,Orthodox,"Mar 16, 1993",3.08,39,2.79,54,2.16,36,62,0
Hacran Dias,68,155,69,Orthodox,"Jun 16, 1984",2.08,41,3.31,55,2.5,39,76,0.5
Nick Diaz,73,185,76,Southpaw,"Aug 02, 1983",5.43,42,3.56,61,1.32,33,60,1
Nate Diaz,72,170,76,Southpaw,"Apr 16, 1985",4.62,45,3.78,53,1.19,30,42,1.4
Seth Dikun,70,135,69,Orthodox,"Aug 05, 1980",1.45,26,2.18,55,0,0,45,0.9
TJ Dillashaw,66,125,67,Orthodox,"Feb 07, 1986",5.37,41,3.03,65,1.68,37,86,1
Matt Dixon,70,170,75,Switch,"Oct 09, 1995",1.97,43,4.56,37,3.06,30,0,0
Russell Doane,67,135,70,Orthodox,"Aug 13, 1986",1.75,40,1.68,53,2.11,45,52,0.8
Drew Dober,68,155,70,Southpaw,"Oct 19, 1988",4.33,40,3.87,54,0.8,17,55,0.1
Shana Dobson,66,125,69,Orthodox,"Mar 30, 1989",3.34,37,5.2,50,0.84,50,14,0
Joe Doerksen,72,185,75,Orthodox,"Oct 09, 1977",1.43,42,2.79,50,2.02,33,33,2.3
John Dodson,63,135,66,Orthodox,"Sep 26, 1984",3.2,40,3.58,61,0.71,28,82,0
CB Dollaway,74,185,76,Orthodox,"Aug 10, 1983",2.65,47,2.58,54,3.55,54,62,1.2
Cody Donovan,75,205,74,Orthodox,"Feb 20, 1981",5.61,59,5.44,45,1.67,28,0,1.7
Roman Dolidze,74,205,76,Orthodox,"Jul 15, 1988",2.98,51,1.75,61,1.75,50,33,2.2
Anderson Dos Santos,65,135,70,Orthodox,"Jul 24, 1985",2.66,28,4.8,55,1.3,18,66,0.9
Tiago dos Santos e Silva,69,145,70,Orthodox,"Apr 12, 1987",3.69,35,4.23,59,0.63,11,33,0.3
Junior Dos Santos,76,265,77,Orthodox,"Jan 30, 1984",4.49,47,3.33,56,0.3,50,81,0.1
Rafael Dos Anjos,68,155,70,Southpaw,"Oct 26, 1984",3.49,46,3.22,61,1.93,37,58,0.6
Kyle Driscoll,71,145,74,Orthodox,"Sep 23, 1994",2.73,32,2.6,58,2,18,0,0
Danny Downes,72,155,72,Orthodox,"Apr 08, 1986",1.66,34,3.53,37,0,0,37,0.5
Tomasz Drwal,73,205,76,Orthodox,"Jan 22, 1982",3.29,38,2.26,57,3.55,60,82,0.4
Dricus Du Plessis,73,185,76,Switch,"Jan 14, 1994",7.72,44,4.16,67,0,0,0,0
Norma Dumont,67,135,67,Orthodox,"Oct 01, 1990",5.35,55,2.65,72,2.43,42,100,0
Jessamyn Duke,71,135,73,Orthodox,"Jun 24, 1986",4.83,53,4.43,57,1.27,36,50,1.9
Joe Duffy,70,155,73,Orthodox,"Feb 18, 1988",2.68,34,3.78,54,0.96,66,64,0.7
Todd Duffee,75,265,78,Orthodox,"Dec 06, 1985",5.93,37,2.87,56,0.72,25,90,0
Cody Durden,67,125,67,Southpaw,"Mar 29, 1991",3.11,48,3.93,41,3.28,26,50,0.8
Reuben Duran,67,135,71,Orthodox,"Jul 02, 1983",3.19,49,2.61,50,0.98,23,25,0.7
Tom Duquesnoy,67,135,68,Orthodox,"Jun 21, 1993",3.83,45,5.3,62,0.42,25,46,0
Evan Dunham,70,155,70,Southpaw,"Dec 18, 1981",5.33,39,3.54,61,1.82,33,79,1
David Dvorak,65,125,68,Orthodox,"Jun 05, 1992",4.5,48,3.17,63,0,0,75,0
Matt Dwyer,76,170,76,Orthodox,"Dec 17, 1989",2.57,34,3.24,54,0.44,10,60,0
Merab Dvalishvili,66,135,68,Orthodox,"Jan 10, 1991",3.91,39,2.08,61,7.71,43,80,0.3
Rolando Dy,68,145,69,Orthodox,"Aug 11, 1990",3.04,37,4.47,52,0.3,20,68,0
Mike Easton,66,135,70,Southpaw,"Jan 25, 1984",3.51,37,4.28,61,0.75,22,66,0
Marvin Eastman,69,185,73,Orthodox,"Jun 08, 1971",2.21,35,3.92,42,1.38,33,81,0
Brian Ebersole,72,170,73,Southpaw,"Nov 27, 1980",2.32,49,2.14,56,1.7,23,61,0.1
Mark Eddiva,68,145,68,Orthodox,"Feb 16, 1986",3.37,45,2.98,54,1.45,22,63,0
Johnny Eduardo,67,135,71,Orthodox,"Aug 03, 1978",2.89,38,3.34,63,0,0,62,0.5
Frankie Edgar,66,135,68,Orthodox,"Oct 16, 1981",3.7,39,2.71,66,2.28,31,65,0.3
Stephanie Egger,66,135,68,Orthodox,"Aug 12, 1988",0.67,31,1.33,52,1,16,40,0
Joselyne Edwards,68,135,70,Orthodox,"Sep 29, 1995",4.2,53,3.83,46,0.5,16,37,0.5
Te Edwards,68,155,72,Orthodox,"Sep 11, 1990",1.5,41,4.15,44,0.72,100,44,0
Justin Edwards,70,155,70,Orthodox,"Jan 26, 1983",2.68,42,3.32,51,2.14,26,27,1
Leon Edwards,74,170,74,Southpaw,"Aug 25, 1991",2.56,47,2.03,55,1.35,30,70,0.4
Yves Edwards,69,155,73,Southpaw,"Sep 30, 1976",2.91,42,2.34,66,0.76,53,69,0.7
Per Eklund,70,155,72,Orthodox,NA,2.07,61,2.38,67,2.07,11,50,3.6
Jake Ellenberger,69,170,71,Orthodox,"Mar 28, 1985",2.47,39,2.83,60,2.04,47,86,0.4
Darren Elkins,70,145,71,Orthodox,"May 16, 1984",3.5,38,3.08,52,2.7,33,58,1.2
Joe Ellenberger,69,155,72,Orthodox,"Mar 28, 1985",1.62,47,3.45,48,3.17,40,0,1.1
Cameron Else,69,135,71,Switch,"Apr 27, 1987",1.92,36,5.58,58,0,0,0,0
Tim Elliott,67,125,66,Southpaw,"Dec 24, 1986",3.35,45,2.49,59,4.01,49,58,1.1
Rob Emerson,69,155,70,Orthodox,"Jul 30, 1981",2.5,30,2.83,64,2.02,52,65,0.4
Ramazan Emeev,70,170,76,Southpaw,"May 23, 1987",2.5,45,1.98,66,2.33,29,66,0.5
Josh Emmett,66,145,70,Orthodox,"Mar 04, 1985",4.32,39,4.02,63,1.43,47,50,0.1
Jamall Emmers,70,145,74,Orthodox,"Jul 24, 1989",5.75,52,4.65,54,2.9,53,100,0
Fedor Emelianenko,72,265,74,Orthodox,"Sep 28, 1976",3.18,51,1,63,2,63,82,1.9
Oliver Enkamp,72,170,77,Switch,"Aug 10, 1991",2.38,36,3.55,37,0.87,16,0,0
Andy Enz,75,185,78,Orthodox,"Aug 15, 1991",3.51,23,5.32,57,0,0,58,0
Julian Erosa,73,145,74,Southpaw,"Jul 31, 1989",5.07,47,5.72,50,1.32,54,58,0.9
Cole Escovedo,67,135,72,Orthodox,"Aug 30, 1981",1.77,43,4.32,49,0.43,33,13,0
Efrain Escudero,69,155,71,Orthodox,"Jan 15, 1986",2.92,44,2.3,63,1.31,40,66,0.8
Carla Esparza,61,115,63,Orthodox,"Oct 10, 1987",2.29,42,2.85,53,3.44,35,48,0.3
Juan Espino,75,265,80,Orthodox,"Oct 09, 1980",4.32,80,0.54,42,14.19,77,0,6.1
Jodie Esquibel,61,115,64,Orthodox,"May 07, 1986",4.1,31,7.37,52,0.75,21,83,0
Jordan Espinosa,66,125,69,Orthodox,"Nov 08, 1989",4.22,52,2.94,57,0.75,28,70,0.2
Terry Etim,73,155,73,Orthodox,"Jan 11, 1986",2.16,35,2.53,67,0.43,30,39,1.4
Sijara Eubanks,64,135,67,Orthodox,"Apr 27, 1985",4.52,43,3.69,57,1.88,46,65,0.4
Billy Evangelista,68,155,68,Orthodox,"Oct 07, 1980",4.51,40,3.96,61,1.6,19,61,0.2
Rashad Evans,72,205,75,Orthodox,"Sep 25, 1979",2.14,37,2.42,63,2.98,44,73,0
Ashlee Evans-Smith,68,135,67,Orthodox,"Jul 09, 1987",4.54,34,4.69,55,1.1,23,66,0
Tonya Evinger,67,135,70,Orthodox,"Jun 04, 1981",1.16,42,4.02,38,0.93,30,33,0.9
Andre Ewell,68,135,75,Southpaw,"Jan 21, 1988",4.42,41,4.25,52,0.29,66,70,0.1
Movsar Evloev,67,145,72,Orthodox,"Feb 11, 1994",4.7,44,2.83,64,2.75,37,70,0
Jessica Eye,66,125,66,Orthodox,"Jul 27, 1986",3.76,37,4.01,55,0.45,40,57,0.5
Wagnney Fabiano,66,145,69,Southpaw,"Jul 14, 1975",1.19,38,0.66,70,3.44,64,100,0.4
Melinda Fabian,66,125,66,Orthodox,"Jun 25, 1987",4.03,41,4,62,0,0,100,0
Urijah Faber,66,135,67,Orthodox,"May 14, 1979",2.65,40,2.59,64,1.54,30,58,0.8
Bartosz Fabinski,72,170,75,Orthodox,"Apr 26, 1986",2.2,69,1.35,53,7.08,69,80,0
Zarah Fairn,68,145,72,Orthodox,"Dec 12, 1986",1.98,45,6.61,39,0,0,50,0
Rico Farrington,76,170,79,Southpaw,"Jun 19, 1989",6.33,41,7.2,51,0,0,20,0
Carlos Felipe,72,265,75,Orthodox,"Jan 12, 1995",4.42,45,4.6,47,0,0,70,0
Paul Felder,71,155,70,Orthodox,"Apr 25, 1984",3.7,44,3.44,48,0.29,28,64,0.2
Kevin Ferguson,74,265,77,Orthodox,"Feb 08, 1974",2.3,50,3.41,38,3.1,72,36,1.2
Tony Ferguson,71,155,76,Orthodox,"Feb 12, 1984",5.46,45,3.94,59,0.45,42,70,1.1
Cezar Ferreira,73,185,78,Southpaw,"Feb 15, 1985",1.9,42,2.44,53,2.69,53,84,0.5
Diego Ferreira,69,155,74,Orthodox,"Jan 18, 1985",4.85,37,3.26,58,0.89,26,68,0.9
Timo Feucht,75,205,79,Orthodox,"Jan 18, 1996",0,0,0,0,0,0,0,0
Drew Fickett,70,155,70,Orthodox,"Dec 14, 1979",2.33,41,2.29,57,1.3,35,30,2.2
Deiveson Figueiredo,65,125,68,Orthodox,"Dec 18, 1987",3.38,56,3.35,50,1.57,50,61,2.4
Francisco Figueiredo,66,135,69,Southpaw,"Oct 23, 1989",1.93,54,2.07,76,4,66,100,0
Edwin Figueroa,67,135,69,Orthodox,"Jul 31, 1984",2.57,39,3.06,51,0.2,100,37,0.6
Andre Fili,71,145,74,Orthodox,"Jun 25, 1990",3.73,36,3.9,52,2.5,49,64,0.2
Mirko Filipovic,74,265,73,Southpaw,"Sep 10, 1974",2.11,50,1.89,63,0.19,40,78,0.3
Luigi Fioravanti,68,170,70,Orthodox,"Jan 22, 1981",2.23,42,2.21,69,3.76,63,67,0.9
Spencer Fisher,67,155,68,Southpaw,"May 09, 1976",3.17,43,3.03,64,0.67,30,60,0.8
Chris Fishgold,68,145,68,Orthodox,"Jun 06, 1992",2.01,32,2.7,46,2.59,46,44,1.3
Jimmy Flick,67,125,68,Orthodox,"Sep 07, 1990",1.99,58,2.3,50,1.81,50,0,7.2
Alejandro Flores,70,145,73,Orthodox,"Aug 06, 1991",3.66,40,2.02,54,0,0,0,0
Ty Flores,75,205,73,Switch,"Dec 22, 1993",2,37,7.8,25,1,9,0,0
Rafael Fiziev,68,155,71,Switch,"Mar 05, 1993",4.67,57,4.17,55,0.84,50,100,0
Luke Flores,72,155,73,Southpaw,"Mar 17, 1988",1.56,44,1.88,60,0,0,40,1.2
Jon Fitch,72,170,74,Orthodox,"Feb 24, 1978",2.61,50,1.65,54,3.6,51,56,0.8
Kenny Florian,70,145,74,Southpaw,"May 26, 1976",2.41,40,1.85,63,2.22,33,60,1.3
Caros Fodor,69,155,74,Orthodox,"Jan 07, 1984",2.76,54,2.83,54,2.1,25,50,0
Rob Font,68,135,71,Orthodox,"Jun 25, 1987",5.21,42,3.83,62,1.2,36,48,0.8
Jesse Forbes,74,185,75,Southpaw,"Oct 24, 1984",2.11,24,4.06,53,1.79,75,66,1.2
Marcel Fortuna,73,205,74,Orthodox,"Oct 22, 1985",3.83,46,4.52,64,0.45,8,75,0.5
Jussier Formiga,65,125,67,Orthodox,"Apr 14, 1985",1.42,39,2.34,64,1.82,35,87,0.6
Renee Forte,67,155,71,Orthodox,"Mar 27, 1987",2.08,32,2.12,63,2.32,58,66,0
Brian Foster,69,170,71,Orthodox,"Apr 03, 1984",3.3,39,1.63,65,3.67,60,37,1.8
John Franchi,66,145,67,Orthodox,"Jul 16, 1982",1.83,48,2.59,48,2.68,80,40,0.3
Hermes Franca,66,155,71,Orthodox,"Aug 26, 1974",1.78,39,2.85,55,1.53,36,37,2.4
Glaico Franca Moreira,72,155,77,Orthodox,"Feb 28, 1991",2.35,42,3.46,47,2.68,42,76,0.3
Rich Franklin,73,185,76,Southpaw,"Oct 05, 1974",4.1,44,2.07,62,1.31,66,63,0.7
Justin Frazier,72,265,75,Southpaw,"Jun 15, 1989",1.11,66,6.11,4,0,0,0,0
Stephanie Frausto,62,115,61,Orthodox,"Sep 20, 1990",1.43,21,3.57,60,0,0,0,0
Patricio Freire,65,145,65,Orthodox,"Jul 07, 1987",2.84,41,4.43,60,0.6,18,94,0.6
Patricky Freire,67,155,71,Orthodox,"Jun 01, 1986",3.06,44,3.34,69,1.26,33,100,0
Matt Frevola,69,155,71,Orthodox,"Jun 11, 1990",2.73,37,3.44,58,2.59,37,40,1.1
Jinh Yu Frey,63,115,65,Southpaw,"May 20, 1985",1.79,40,3.35,44,1.06,42,83,0.7
Sarah Frota,66,125,69,Southpaw,"Apr 14, 1987",4.52,52,2.57,55,0,0,53,0
Riki Fukuda,72,185,73,Southpaw,"Jan 06, 1981",4.24,43,3.71,64,2.17,43,70,0
Masio Fullen,70,145,70,Orthodox,"Oct 06, 1986",2.46,32,3.5,54,0.47,33,69,0
Ricardo Funch,70,170,74,Southpaw,"Aug 14, 1980",2.61,65,3.57,40,1.24,18,60,0
Justin Gaethje,71,155,70,Orthodox,"Nov 14, 1988",7.46,59,7.99,55,0,0,69,0
Claudia Gadelha,64,115,63,Orthodox,"Dec 07, 1988",3.31,41,4.57,57,3.03,42,58,0.7
Mitch Gagnon,65,135,65,Southpaw,"Oct 10, 1984",2.76,46,2.21,61,1.16,25,65,1.9
Mickey Gall,74,170,74,Switch,"Jan 22, 1992",2.55,46,3.65,42,1.15,26,40,2.1
Mateusz Gamrot,70,155,70,Southpaw,"Dec 11, 1990",3.47,41,2.47,56,5,31,100,0
Shamil Gamzatov,74,205,76,Orthodox,"Aug 09, 1990",4.27,46,2.13,58,0,0,50,0
Manvel Gamburyan,65,135,67,Orthodox,"May 08, 1981",2.13,41,2.83,55,3.26,34,69,0.7
Eduardo Garagorri,69,145,70,Orthodox,"May 28, 1989",3.42,51,2.36,58,0.48,100,61,0
Ciryl Gane,76,265,81,Orthodox,"Apr 12, 1990",5.04,55,1.85,69,1.13,26,100,0.5
Cody Garbrandt,68,135,65,Orthodox,"Jul 07, 1991",3.35,37,3.33,65,0.84,33,100,0
Leonard Garcia,70,145,68,Orthodox,"Jul 14, 1979",2.77,24,4.79,52,0.3,26,42,0.5
Edgar Garcia,70,170,71,Orthodox,"Feb 22, 1984",3.16,29,4.23,60,2.21,57,50,0.6
Alex Garcia,69,170,72,Orthodox,"Jul 14, 1987",1.81,31,3.03,59,3.72,52,66,0.1
Steve Garcia,72,155,75,Southpaw,"May 22, 1992",4.31,55,2.52,36,0.61,25,100,0.6
Elias Garcia,65,125,67,Southpaw,"Sep 13, 1992",1.59,27,5.05,50,0.68,14,33,1.4
Rafa Garcia,67,155,70,Orthodox,"Aug 05, 1994",3.47,23,6.6,54,0,0,100,0
Pablo Garza,73,145,73,Orthodox,"Sep 16, 1983",3.37,44,2.7,50,0.94,25,15,1.3
Willie Gates,68,125,72,Orthodox,"Jan 21, 1987",1.8,38,4.28,38,0,0,67,0.4
